"filename", "language", "JavaScript", "SCSS", "comment", "blank", "total"
"c:\kamp\youtubeClone\youtube-clone\src\components\comment\Comment.js", "JavaScript", 21, 0, 0, 2, 23
"c:\kamp\youtubeClone\youtube-clone\src\components\comment\_comment.scss", "SCSS", 0, 14, 0, 1, 15
"c:\kamp\youtubeClone\youtube-clone\src\components\comments\Comments.js", "JavaScript", 29, 0, 1, 0, 30
"c:\kamp\youtubeClone\youtube-clone\src\components\comments\_comments.scss", "SCSS", 0, 25, 0, 0, 25
"c:\kamp\youtubeClone\youtube-clone\src\components\videoHorizontal\VideoHorizontal.js", "JavaScript", 32, 0, 0, 1, 33
"c:\kamp\youtubeClone\youtube-clone\src\components\videoHorizontal\_videoHorizontal.scss", "SCSS", 0, 69, 0, 8, 77
"c:\kamp\youtubeClone\youtube-clone\src\components\videoMetaData\VideoMetaData.js", "JavaScript", 14, 0, 0, 0, 14
"c:\kamp\youtubeClone\youtube-clone\src\components\videoMetaData\_videoMetaData.scss", "SCSS", 0, 12, 0, 0, 12
"c:\kamp\youtubeClone\youtube-clone\src\screens\watchScreen\WatchScreen.js", "JavaScript", -6, 0, 0, 0, -6
"Total", "-", 90, 120, 1, 12, 223
