"filename", "language", "JSON", "HTML", "Markdown", "SCSS", "JavaScript", "CSS", "comment", "blank", "total"
"c:\kamp\youtubeClone\youtube-clone\README.md", "Markdown", 0, 0, 38, 0, 0, 0, 0, 33, 71
"c:\kamp\youtubeClone\youtube-clone\package-lock.json", "JSON", 32203, 0, 0, 0, 0, 0, 0, 1, 32204
"c:\kamp\youtubeClone\youtube-clone\package.json", "JSON", 57, 0, 0, 0, 0, 0, 0, 1, 58
"c:\kamp\youtubeClone\youtube-clone\public\index.html", "HTML", 0, 18, 0, 0, 0, 0, 23, 1, 42
"c:\kamp\youtubeClone\youtube-clone\public\manifest.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 1, 24
"c:\kamp\youtubeClone\youtube-clone\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\kamp\youtubeClone\youtube-clone\src\App.js", "JavaScript", 0, 0, 0, 0, 54, 0, 0, 4, 58
"c:\kamp\youtubeClone\youtube-clone\src\_app.scss", "SCSS", 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\kamp\youtubeClone\youtube-clone\src\_base.scss", "SCSS", 0, 0, 0, 28, 0, 0, 2, 5, 35
"c:\kamp\youtubeClone\youtube-clone\src\api.js", "JavaScript", 0, 0, 0, 0, 8, 0, 1, 4, 13
"c:\kamp\youtubeClone\youtube-clone\src\components\categoriesBar\CategoriesBar.js", "JavaScript", 0, 0, 0, 0, 54, 0, 0, 3, 57
"c:\kamp\youtubeClone\youtube-clone\src\components\categoriesBar\_categoriesBar.scss", "SCSS", 0, 0, 0, 26, 0, 0, 2, 3, 31
"c:\kamp\youtubeClone\youtube-clone\src\components\comment\Comment.js", "JavaScript", 0, 0, 0, 0, 23, 0, 0, 2, 25
"c:\kamp\youtubeClone\youtube-clone\src\components\comment\_comment.scss", "SCSS", 0, 0, 0, 14, 0, 0, 0, 1, 15
"c:\kamp\youtubeClone\youtube-clone\src\components\comments\Comments.js", "JavaScript", 0, 0, 0, 0, 53, 0, 0, 6, 59
"c:\kamp\youtubeClone\youtube-clone\src\components\comments\_comments.scss", "SCSS", 0, 0, 0, 25, 0, 0, 0, 1, 26
"c:\kamp\youtubeClone\youtube-clone\src\components\header\Header.js", "JavaScript", 0, 0, 0, 0, 51, 0, 0, 4, 55
"c:\kamp\youtubeClone\youtube-clone\src\components\header\_header.scss", "SCSS", 0, 0, 0, 79, 0, 0, 1, 10, 90
"c:\kamp\youtubeClone\youtube-clone\src\components\sidebar\Sidebar.js", "JavaScript", 0, 0, 0, 0, 78, 0, 0, 5, 83
"c:\kamp\youtubeClone\youtube-clone\src\components\sidebar\_sidebar.scss", "SCSS", 0, 0, 0, 53, 0, 0, 0, 4, 57
"c:\kamp\youtubeClone\youtube-clone\src\components\skeletons\SkeletonVideo.js", "JavaScript", 0, 0, 0, 0, 16, 0, 0, 3, 19
"c:\kamp\youtubeClone\youtube-clone\src\components\videoHorizontal\VideoHorizontal.js", "JavaScript", 0, 0, 0, 0, 101, 0, 0, 9, 110
"c:\kamp\youtubeClone\youtube-clone\src\components\videoHorizontal\_videoHorizontal.scss", "SCSS", 0, 0, 0, 74, 0, 0, 0, 9, 83
"c:\kamp\youtubeClone\youtube-clone\src\components\videoMetaData\VideoMetaData.js", "JavaScript", 0, 0, 0, 0, 92, 0, 2, 12, 106
"c:\kamp\youtubeClone\youtube-clone\src\components\videoMetaData\_videoMetaData.scss", "SCSS", 0, 0, 0, 45, 0, 0, 0, 1, 46
"c:\kamp\youtubeClone\youtube-clone\src\components\video\Video.js", "JavaScript", 0, 0, 0, 0, 81, 0, 0, 11, 92
"c:\kamp\youtubeClone\youtube-clone\src\components\video\_video.scss", "SCSS", 0, 0, 0, 50, 0, 0, 1, 3, 54
"c:\kamp\youtubeClone\youtube-clone\src\firebase.js", "JavaScript", 0, 0, 0, 0, 16, 0, 8, 5, 29
"c:\kamp\youtubeClone\youtube-clone\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\kamp\youtubeClone\youtube-clone\src\index.js", "JavaScript", 0, 0, 0, 0, 18, 0, 0, 3, 21
"c:\kamp\youtubeClone\youtube-clone\src\redux\actionType.js", "JavaScript", 0, 0, 0, 0, 26, 0, 0, 9, 35
"c:\kamp\youtubeClone\youtube-clone\src\redux\actions\auth.js", "JavaScript", 0, 0, 0, 0, 46, 0, 4, 6, 56
"c:\kamp\youtubeClone\youtube-clone\src\redux\actions\channel.js", "JavaScript", 0, 0, 0, 0, 50, 0, 0, 6, 56
"c:\kamp\youtubeClone\youtube-clone\src\redux\actions\comments.js", "JavaScript", 0, 0, 0, 0, 65, 0, 0, 6, 71
"c:\kamp\youtubeClone\youtube-clone\src\redux\actions\videos.js", "JavaScript", 0, 0, 0, 0, 148, 0, 0, 10, 158
"c:\kamp\youtubeClone\youtube-clone\src\redux\reducers\auth.js", "JavaScript", 0, 0, 0, 0, 52, 0, 0, 2, 54
"c:\kamp\youtubeClone\youtube-clone\src\redux\reducers\channel.js", "JavaScript", 0, 0, 0, 0, 43, 0, 0, 4, 47
"c:\kamp\youtubeClone\youtube-clone\src\redux\reducers\comments.js", "JavaScript", 0, 0, 0, 0, 35, 0, 0, 4, 39
"c:\kamp\youtubeClone\youtube-clone\src\redux\reducers\videos.js", "JavaScript", 0, 0, 0, 0, 141, 0, 3, 12, 156
"c:\kamp\youtubeClone\youtube-clone\src\redux\store.js", "JavaScript", 0, 0, 0, 0, 27, 0, 0, 3, 30
"c:\kamp\youtubeClone\youtube-clone\src\screens\homeScreen\HomeScreen.js", "JavaScript", 0, 0, 0, 0, 56, 0, 8, 4, 68
"c:\kamp\youtubeClone\youtube-clone\src\screens\homeScreen\_homeScreen.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\kamp\youtubeClone\youtube-clone\src\screens\loginScreen\LoginScreen.js", "JavaScript", 0, 0, 0, 0, 29, 0, 0, 3, 32
"c:\kamp\youtubeClone\youtube-clone\src\screens\loginScreen\_loginScreen.scss", "SCSS", 0, 0, 0, 29, 0, 0, 0, 3, 32
"c:\kamp\youtubeClone\youtube-clone\src\screens\searchScreen\Search.js", "JavaScript", 0, 0, 0, 0, 29, 0, 3, 2, 34
"c:\kamp\youtubeClone\youtube-clone\src\screens\watchScreen\WatchScreen.js", "JavaScript", 0, 0, 0, 0, 62, 0, 6, 4, 72
"c:\kamp\youtubeClone\youtube-clone\src\screens\watchScreen\_watchScreen.scss", "SCSS", 0, 0, 0, 6, 0, 0, 0, 1, 7
"Total", "-", 32283, 18, 38, 433, 1454, 0, 64, 228, 34518
